bearing,rul_at_alarm_s,outcome,policy,seed
Bearing1_4,7140.0,premature,Always-cloud,2
Bearing1_5,2940.0,timely,Always-cloud,2
Bearing2_1,29280.0,premature,Always-cloud,2
Bearing2_2,9480.0,premature,Always-cloud,2
Bearing2_3,31620.0,premature,Always-cloud,2
Bearing2_4,480.0,late,Always-cloud,2
Bearing2_5,11040.0,premature,Always-cloud,2
Bearing3_1,152100.0,premature,Always-cloud,2
Bearing3_2,149580.0,premature,Always-cloud,2
Bearing3_3,21360.0,premature,Always-cloud,2
Bearing3_4,87360.0,premature,Always-cloud,2
Bearing3_5,6660.0,premature,Always-cloud,2
Bearing1_1,,late,Cloud point+threshold,2
Bearing1_2,9480.0,premature,Cloud point+threshold,2
Bearing1_3,4500.0,timely,Cloud point+threshold,2
Bearing1_4,,late,Cloud point+threshold,2
Bearing1_5,840.0,late,Cloud point+threshold,2
Bearing2_1,2040.0,timely,Cloud point+threshold,2
Bearing2_2,9480.0,premature,Cloud point+threshold,2
Bearing2_3,13620.0,premature,Cloud point+threshold,2
Bearing2_4,180.0,late,Cloud point+threshold,2
Bearing2_5,10320.0,premature,Cloud point+threshold,2
Bearing3_1,139260.0,premature,Cloud point+threshold,2
Bearing3_2,149580.0,premature,Cloud point+threshold,2
Bearing3_3,480.0,late,Cloud point+threshold,2
Bearing3_4,5520.0,timely,Cloud point+threshold,2
Bearing3_5,4800.0,timely,Cloud point+threshold,2
Bearing1_1,6840.0,premature,HERA-full,2
Bearing1_2,9480.0,premature,HERA-full,2
Bearing1_3,8700.0,premature,HERA-full,2
Bearing1_4,7140.0,premature,HERA-full,2
Bearing1_5,2940.0,timely,HERA-full,2
Bearing2_1,29280.0,premature,HERA-full,2
Bearing2_2,9480.0,premature,HERA-full,2
Bearing2_3,31620.0,premature,HERA-full,2
Bearing2_4,480.0,late,HERA-full,2
Bearing2_5,11040.0,premature,HERA-full,2
Bearing3_1,152100.0,premature,HERA-full,2
Bearing3_2,149580.0,premature,HERA-full,2
Bearing3_3,21360.0,premature,HERA-full,2
Bearing3_4,87360.0,premature,HERA-full,2
Bearing3_5,6660.0,premature,HERA-full,2
Bearing1_1,6840.0,premature,Width gate (matched),2
Bearing1_2,9480.0,premature,Width gate (matched),2
Bearing1_3,8700.0,premature,Width gate (matched),2
Bearing1_4,7140.0,premature,Width gate (matched),2
Bearing1_5,2940.0,timely,Width gate (matched),2
Bearing2_1,29280.0,premature,Width gate (matched),2
Bearing2_2,9480.0,premature,Width gate (matched),2
Bearing2_3,31620.0,premature,Width gate (matched),2
Bearing2_4,480.0,late,Width gate (matched),2
Bearing2_5,11040.0,premature,Width gate (matched),2
Bearing3_1,152100.0,premature,Width gate (matched),2
Bearing3_2,149580.0,premature,Width gate (matched),2
Bearing3_3,21360.0,premature,Width gate (matched),2
Bearing3_4,87360.0,premature,Width gate (matched),2
Bearing3_5,6660.0,premature,Width gate (matched),2
