policy,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse,mae,bytes_per_snapshot,latency_mean_ms,kmacs_per_snapshot,picp,mpiw,seed
Linear score gate (matched),0.07301587301587302,0.25396825396825395,0.09424900948493216,0.4647616760715572,0.5174696180555556,0.4966362847222222,0.7391493055555556,1357.292724609375,857.7123413085938,101.52951388888889,37.48646306570057,299.98843055555557,0.9258897569444444,2524.907470703125,1
Random gate (matched),0.050793650793650794,0.16825396825396827,0.2085484451914996,0.6677872493696723,0.3371310763888889,0.6857638888888888,0.6810980902777778,1449.3726806640625,1061.75439453125,123.890625,34.54764087133905,277.79893402777776,0.9473741319444444,3344.5625,1
Always-edge,0.0,0.0,0.44279025093048385,0.8522031456357306,0.18033854166666666,0.8664279513888888,0.0,1424.177490234375,1010.789306640625,0.0,0.06729149936290924,17.456,0.9937065972222222,4262.263671875,2
Always-cloud,0.09841269841269841,0.24126984126984127,0.09809100732380838,0.7597550726377716,0.2533637152777778,0.7660590277777778,1.0,1387.34521484375,1033.7333984375,112.0,50.6246455013752,382.24,0.9242621527777778,3030.677490234375,2
Cloud point+threshold,0.2984126984126984,0.7746031746031746,0.0289350462240365,0.09845119462120303,0.8459201388888888,0.14561631944444445,1.0,1814.99755859375,1437.05322265625,112.0,50.6246455013752,382.24,,,2
HERA-full,0.09841269841269841,0.24126984126984127,0.09809100732380838,0.6853163645095449,0.3206380208333333,0.6987847222222222,0.8664279513888888,1371.83935546875,960.5914916992188,111.22743055555556,43.929899390908155,348.63942013888885,0.9242621527777778,2816.50439453125,2
HERA w/o anomaly term,0.09841269841269841,0.24126984126984127,0.09809100732380838,0.6853163645095449,0.3206380208333333,0.6987847222222222,0.8664279513888888,1371.83935546875,960.5914916992188,111.22743055555556,43.929899390908155,348.63942013888885,0.9242621527777778,2816.50439453125,2
HERA-no-DT,0.12380952380952381,0.2507936507936508,0.11057750030015608,0.33353343738744146,0.6302083333333334,0.3740234375,0.8664279513888888,1322.755615234375,763.5929565429688,111.22743055555556,43.929899390908155,348.63942013888885,0.9249131944444444,2479.943359375,2
HERA-no-UQ,0.2984126984126984,0.7746031746031746,0.0289350462240365,0.09629007083683515,0.8478732638888888,0.14366319444444445,0.6863064236111112,1950.3131103515625,1628.616943359375,92.02604166666667,34.811310899992044,279.7897673611111,,,2
HERA-fixed (anomaly trigger),0.0,0.0,0.44279025093048385,0.8522031456357306,0.18033854166666666,0.8664279513888888,0.054036458333333336,1471.1494140625,1027.027587890625,20.32465277777778,2.802868046637741,38.11089583333334,0.9774305555555556,4224.9365234375,2
Width gate (matched),0.09841269841269841,0.24126984126984127,0.09809100732380838,0.686276863969264,0.3197699652777778,0.6996527777777778,0.8672960069444444,1371.969970703125,961.140869140625,111.26388888888889,43.97384439568365,348.97122569444446,0.9242621527777778,2816.751220703125,2
Linear score gate (matched),0.09841269841269841,0.24126984126984127,0.09809100732380838,0.6916796734301837,0.3155381944444444,0.7051866319444444,0.8563368055555556,1369.8082275390625,954.0679321289062,110.82638888888889,43.419038710392975,344.78218055555556,0.9244791666666666,2819.66162109375,2
Random gate (matched),0.06349206349206349,0.1619047619047619,0.19029895545683756,0.785808620482651,0.23328993055555555,0.7941623263888888,0.7368706597222222,1393.900146484375,1025.50341796875,123.96354166666667,37.37110742816488,299.11744097222225,0.9423828125,3364.638671875,2
