policy,eps,seed,fold,bearing,outcome,rul_at_alarm_s,lambda,esc_frac,bytes_per_snapshot,life_s
"Always-cloud, CRC + burn-in",0.25,0,4,Bearing2_5,premature,8580.0,2400.0,1.0,112.0,20280.0
"Always-cloud, CRC + burn-in",0.25,0,4,Bearing3_5,timely,5160.0,2400.0,1.0,112.0,6780.0
"Always-cloud, CRC + burn-in",0.3,0,4,Bearing1_5,late,,2400.0,1.0,112.0,3060.0
"Always-cloud, CRC + burn-in",0.3,0,4,Bearing2_5,premature,8580.0,2400.0,1.0,112.0,20280.0
"Always-cloud, CRC + burn-in",0.3,0,4,Bearing3_5,timely,5160.0,2400.0,1.0,112.0,6780.0
"Always-cloud, CRC + burn-in",0.4,0,4,Bearing1_5,late,,2332.5,1.0,112.0,3060.0
"Always-cloud, CRC + burn-in",0.4,0,4,Bearing2_5,premature,8580.0,2332.5,1.0,112.0,20280.0
"Always-cloud, CRC + burn-in",0.4,0,4,Bearing3_5,timely,5160.0,2332.5,1.0,112.0,6780.0
"Always-cloud, CRC",0.1,0,4,Bearing1_5,timely,2940.0,4695.0,1.0,112.0,3060.0
"Always-cloud, CRC",0.1,0,4,Bearing2_5,premature,19380.0,4695.0,1.0,112.0,20280.0
"Always-cloud, CRC",0.1,0,4,Bearing3_5,premature,6660.0,4695.0,1.0,112.0,6780.0
"Always-cloud, CRC",0.15,0,4,Bearing1_5,timely,2940.0,4695.0,1.0,112.0,3060.0
"Always-cloud, CRC",0.15,0,4,Bearing2_5,premature,19380.0,4695.0,1.0,112.0,20280.0
"Always-cloud, CRC",0.15,0,4,Bearing3_5,premature,6660.0,4695.0,1.0,112.0,6780.0
"Always-cloud, CRC",0.2,0,4,Bearing1_5,late,780.0,3885.0,1.0,112.0,3060.0
"Always-cloud, CRC",0.2,0,4,Bearing2_5,premature,10560.0,3885.0,1.0,112.0,20280.0
"Always-cloud, CRC",0.2,0,4,Bearing3_5,timely,5940.0,3885.0,1.0,112.0,6780.0
"Always-cloud, CRC",0.25,0,4,Bearing1_5,late,,2400.0,1.0,112.0,3060.0
"Always-cloud, CRC",0.25,0,4,Bearing2_5,premature,8580.0,2400.0,1.0,112.0,20280.0
"Always-cloud, CRC",0.25,0,4,Bearing3_5,timely,5160.0,2400.0,1.0,112.0,6780.0
"Always-cloud, CRC",0.3,0,4,Bearing1_5,late,,2400.0,1.0,112.0,3060.0
"Always-cloud, CRC",0.3,0,4,Bearing2_5,premature,8580.0,2400.0,1.0,112.0,20280.0
"Always-cloud, CRC",0.3,0,4,Bearing3_5,timely,5160.0,2400.0,1.0,112.0,6780.0
"Always-cloud, CRC",0.4,0,4,Bearing1_5,late,,2332.5,1.0,112.0,3060.0
"Always-cloud, CRC",0.4,0,4,Bearing2_5,premature,8580.0,2332.5,1.0,112.0,20280.0
"Always-cloud, CRC",0.4,0,4,Bearing3_5,timely,5160.0,2332.5,1.0,112.0,6780.0
"Always-edge, CRC",0.1,0,4,Bearing1_5,timely,2820.0,1905.0,0.0,0.0,3060.0
"Always-edge, CRC",0.1,0,4,Bearing2_5,premature,19920.0,1905.0,0.0,0.0,20280.0
"Always-edge, CRC",0.1,0,4,Bearing3_5,premature,6660.0,1905.0,0.0,0.0,6780.0
"Always-edge, CRC",0.15,0,4,Bearing1_5,timely,2820.0,1905.0,0.0,0.0,3060.0
"Always-edge, CRC",0.15,0,4,Bearing2_5,premature,19920.0,1905.0,0.0,0.0,20280.0
"Always-edge, CRC",0.15,0,4,Bearing3_5,premature,6660.0,1905.0,0.0,0.0,6780.0
"Always-edge, CRC",0.2,0,4,Bearing1_5,timely,2820.0,1860.0,0.0,0.0,3060.0
"Always-edge, CRC",0.2,0,4,Bearing2_5,premature,19920.0,1860.0,0.0,0.0,20280.0
"Always-edge, CRC",0.2,0,4,Bearing3_5,premature,6660.0,1860.0,0.0,0.0,6780.0
"Always-edge, CRC",0.25,0,4,Bearing1_5,late,,1005.0,0.0,0.0,3060.0
"Always-edge, CRC",0.25,0,4,Bearing2_5,timely,4680.0,1005.0,0.0,0.0,20280.0
"Always-edge, CRC",0.25,0,4,Bearing3_5,premature,6120.0,1005.0,0.0,0.0,6780.0
"Always-edge, CRC",0.3,0,4,Bearing1_5,late,,1005.0,0.0,0.0,3060.0
"Always-edge, CRC",0.3,0,4,Bearing2_5,timely,4680.0,1005.0,0.0,0.0,20280.0
"Always-edge, CRC",0.3,0,4,Bearing3_5,premature,6120.0,1005.0,0.0,0.0,6780.0
"Always-edge, CRC",0.4,0,4,Bearing1_5,late,,915.0,0.0,0.0,3060.0
"Always-edge, CRC",0.4,0,4,Bearing2_5,timely,4680.0,915.0,0.0,0.0,20280.0
"Always-edge, CRC",0.4,0,4,Bearing3_5,late,,915.0,0.0,0.0,6780.0
"Cloud point, fixed thr. H_p",,0,4,Bearing1_5,late,,0.0,1.0,112.0,3060.0
"Cloud point, fixed thr. H_p",,0,4,Bearing2_5,premature,8580.0,0.0,1.0,112.0,20280.0
"Cloud point, fixed thr. H_p",,0,4,Bearing3_5,timely,5160.0,0.0,1.0,112.0,6780.0
"Cloud point, fixed thr. H_c",,0,4,Bearing1_5,late,,0.0,1.0,112.0,3060.0
