family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Width gate,0.86,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.5259935166286469,0.4623480902777778,0.5508897569444444,0.8599175347222222,1428.2386474609375
Linear score gate,0.86,0,0.10476190476190476,0.2126984126984127,0.09556969624204587,0.5207107696001921,0.4671223958333333,0.5461154513888888,0.8599175347222222,1428.0338134765625
Anomaly trigger,0.86,0,0.09841269841269841,0.20634920634920634,0.16580621923400168,0.7214551566814744,0.2852647569444444,0.7327473958333334,0.8599175347222222,1606.8753662109375
Random gate,0.86,0,0.08571428571428572,0.20634920634920634,0.15488053787969744,0.6795533677512307,0.3237847222222222,0.6924913194444444,0.8619791666666666,1473.21240234375
Width gate,0.9,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.5639332452875495,0.4280598958333333,0.5851779513888888,0.8999565972222222,1438.5394287109375
Linear score gate,0.9,0,0.10476190476190476,0.2126984126984127,0.09556969624204587,0.5621323088005763,0.4296875,0.5835503472222222,0.8999565972222222,1438.75537109375
Anomaly trigger,0.9,0,0.10476190476190476,0.2126984126984127,0.1584824108536439,0.7123304118141434,0.2932942708333333,0.7239583333333334,0.8999565972222222,1604.824951171875
Random gate,0.9,0,0.09206349206349207,0.20317460317460317,0.13975267138912234,0.6737903709929163,0.3294270833333333,0.6868489583333334,0.8952907986111112,1461.091064453125
Width gate,0.9400000000000001,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.581702485292352,0.4120008680555556,0.6012369791666666,0.9177517361111112,1443.18212890625
Linear score gate,0.9400000000000001,0,0.10476190476190476,0.2126984126984127,0.09556969624204587,0.604994597190539,0.3909505208333333,0.6222873263888888,0.9399956597222222,1448.60205078125
Anomaly trigger,0.9400000000000001,0,0.10476190476190476,0.2126984126984127,0.14371473166046345,0.6996037939728659,0.3047960069444444,0.7118055555555556,0.9399956597222222,1585.423583984375
Random gate,0.9400000000000001,0,0.09206349206349207,0.2,0.12066274462720615,0.6736703085604514,0.3295355902777778,0.6856553819444444,0.9404296875,1463.895263671875
Width gate,0.98,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.581702485292352,0.4120008680555556,0.6012369791666666,0.9177517361111112,1443.18212890625
Linear score gate,0.98,0,0.10476190476190476,0.2126984126984127,0.09556969624204587,0.6489374474726858,0.3512369791666667,0.6620008680555556,0.9799262152777778,1457.689208984375
Anomaly trigger,0.98,0,0.10476190476190476,0.2126984126984127,0.11369912354424301,0.6778724936967223,0.3247612847222222,0.6897786458333334,0.9799262152777778,1528.990478515625
Random gate,0.98,0,0.10158730158730159,0.20952380952380953,0.10337375435226318,0.6709088726137592,0.3319227430555556,0.6827256944444444,0.9784071180555556,1463.9791259765625
P: Always-edge (CQR),0.02,0,0.0,0.0,0.6838756153199664,0.7957738023772362,0.22667100694444445,0.8146701388888888,0.0,1511.620849609375
P: Always-cloud (CQR),0.02,0,0.0,0.12380952380952381,0.23796374114539562,1.0,0.04904513888888889,1.0,1.0,1462.017822265625
P: HERA,0.02,0,0.0,0.12380952380952381,0.23268099411694082,0.7957738023772362,0.2328559027777778,0.8146701388888888,0.8146701388888888,1418.420166015625
P: Always-edge (CQR),0.05,0,0.0,0.10476190476190476,0.5831432344819306,0.7403049585784608,0.2727864583333333,0.7626953125,0.0,1511.620849609375
P: Always-cloud (CQR),0.05,0,0.09523809523809523,0.18095238095238095,0.11562012246368111,0.9094729259214792,0.12261284722222222,0.9057074652777778,1.0,1462.017822265625
P: HERA,0.05,0,0.09523809523809523,0.18095238095238095,0.1150198103013567,0.64977788449994,0.3547092013888889,0.6684027777777778,0.7626953125,1411.29638671875
P: Always-edge (CQR),0.1,0,0.0,0.13333333333333333,0.5193900828430784,0.7279385280345779,0.2842881944444444,0.7514105902777778,0.0,1511.620849609375
P: Always-cloud (CQR),0.1,0,0.10476190476190476,0.2126984126984127,0.09556969624204587,0.6710289350462241,0.3312717013888889,0.6819661458333334,1.0,1462.017822265625
P: HERA,0.1,0,0.10476190476190476,0.2126984126984127,0.09544963380958098,0.4541961820146476,0.5272352430555556,0.4860026041666667,0.7514105902777778,1409.3192138671875
P: Always-edge (CQR),0.15,0,0.0,0.13333333333333333,0.4379877536318886,0.7231360307359828,0.2902560763888889,0.7467447916666666,0.0,1511.620849609375
P: Always-cloud (CQR),0.15,0,0.14285714285714285,0.28253968253968254,0.08992676191619642,0.5223916436547005,0.4634331597222222,0.5452473958333334,1.0,1462.017822265625
P: HERA,0.15,0,0.14285714285714285,0.28253968253968254,0.08992676191619642,0.34613999279625407,0.6227213541666666,0.3859592013888889,0.7467447916666666,1408.323974609375
P: Always-edge (CQR),0.2,0,0.0,0.13333333333333333,0.328971064953776,0.7159322847880898,0.2989366319444444,0.7394748263888888,0.0,1511.620849609375
P: Always-cloud (CQR),0.2,0,0.16507936507936508,0.3047619047619048,0.0769600192099892,0.45143474606795536,0.5261501736111112,0.4791666666666667,1.0,1462.017822265625
P: HERA,0.2,0,0.16507936507936508,0.3047619047619048,0.07659983191259455,0.28838996278064594,0.6735026041666666,0.3318142361111111,0.7394748263888888,1405.387939453125
P: Always-edge (CQR),0.3,0,0.0,0.13333333333333333,0.18177452275183095,0.682314803697923,0.3323567708333333,0.7073567708333334,0.0,1511.620849609375
P: Always-cloud (CQR),0.3,0,0.16507936507936508,0.39365079365079364,0.069035898667307,0.3570656741505583,0.6139322916666666,0.3913845486111111,1.0,1461.43359375
P: HERA,0.3,0,0.16507936507936508,0.39365079365079364,0.0671148997478689,0.20398607275783406,0.7522786458333334,0.2530381944444444,0.7073567708333334,1393.8883056640625
P: Always-edge (CQR),0.4,0,0.009523809523809525,0.21904761904761905,0.11970224516748709,0.6281666466562612,0.3796657986111111,0.6547309027777778,0.0,1511.620849609375
P: Always-cloud (CQR),0.4,0,0.20952380952380953,0.4793650793650794,0.06015127866490575,0.23027974546764318,0.7273220486111112,0.2738715277777778,1.0,1461.953857421875
P: HERA,0.4,0,0.20952380952380953,0.4793650793650794,0.05871052947532717,0.1546404130147677,0.7956814236111112,0.2055121527777778,0.6547309027777778,1383.61376953125
P: Always-edge (CQR),0.5,0,0.06031746031746032,0.3619047619047619,0.09604994597190539,0.4379877536318886,0.5498046875,0.4780815972222222,0.0,1511.620849609375
P: Always-cloud (CQR),0.5,0,0.24444444444444444,0.546031746031746,0.05030615920278545,0.15295953896025932,0.7992621527777778,0.20084635416666666,1.0,1459.99853515625
P: HERA,0.5,0,0.24444444444444444,0.546031746031746,0.04982590947292592,0.11934205787009244,0.8296440972222222,0.1704644097222222,0.4780815972222222,1353.843994140625
P: Always-edge (CQR),0.6,0,0.10158730158730159,0.692063492063492,0.07395845839836715,0.3121623244086925,0.6624348958333334,0.3611111111111111,0.0,1511.6224365234375
P: Always-cloud (CQR),0.6,0,0.24761904761904763,0.6825396825396826,0.044062912714611595,0.10589506543402569,0.8388671875,0.1579861111111111,1.0,1435.843505859375
P: HERA,0.6,0,0.24761904761904763,0.6825396825396826,0.04370272541721695,0.09232801056549406,0.8509114583333334,0.1455078125,0.3611111111111111,1341.33740234375
P: Always-edge (CQR),0.7,0,0.13333333333333333,0.8698412698412699,0.0499459719053908,0.25801416736703087,0.7085503472222222,0.3103298611111111,0.0,1513.25439453125
P: Always-cloud (CQR),0.7,0,0.2571428571428571,0.7365079365079366,0.035778604874534756,0.0828430784007684,0.8582899305555556,0.1355251736111111,1.0,1414.5775146484375
P: HERA,0.7,0,0.2571428571428571,0.7365079365079366,0.035178292712210346,0.07924120542682195,0.8611111111111112,0.1318359375,0.3095703125,1348.217041015625
P: Always-edge (CQR),0.8,0,0.14285714285714285,0.9047619047619048,0.036739104334253814,0.21335094249009484,0.7513020833333334,0.2673611111111111,0.0,1475.641357421875
P: Always-cloud (CQR),0.8,0,0.2984126984126984,0.8031746031746032,0.02905510865650138,0.0644735262336415,0.8744574652777778,0.11686197916666667,1.0,1374.9429931640625
P: HERA,0.8,0,0.2984126984126984,0.9555555555555556,0.012726617841277463,0.06159202785448433,0.8764105902777778,0.11263020833333333,0.2351345486111111,1253.5712890625
P: Edge point - margin,0.0,0,0.19682539682539682,1.0,0.0,0.12990755192700204,0.8253038194444444,0.1838107638888889,0.0,2071.839599609375
P: Cloud point - margin,0.0,0,0.27936507936507937,0.8253968253968254,0.023772361628046586,0.09124744867331012,0.8513454861111112,0.13953993055555555,1.0,1662.695068359375
P: Edge point - margin,480.0,0,0.14603174603174604,1.0,0.0021611237843678715,0.2038660103253692,0.7621527777777778,0.2578125,0.0,2071.839599609375
P: Cloud point - margin,480.0,0,0.24761904761904763,0.6730158730158731,0.028094609196782326,0.162444471124985,0.7904730902777778,0.20909288194444445,1.0,1662.695068359375
P: Edge point - margin,960.0,0,0.1111111111111111,0.9777777777777777,0.02137111297874895,0.2773442189938768,0.6975911458333334,0.3285590277777778,0.0,2071.839599609375
P: Cloud point - margin,960.0,0,0.24444444444444444,0.5619047619047619,0.032656981630447834,0.29703445791811744,0.6703559027777778,0.3335503472222222,1.0,1662.695068359375
P: Edge point - margin,1440.0,0,0.044444444444444446,0.7619047619047619,0.05775003001560811,0.41217433065193904,0.5760633680555556,0.4554036458333333,0.0,2071.839599609375
P: Cloud point - margin,1440.0,0,0.14285714285714285,0.48253968253968255,0.038419978388762155,0.6143594669227999,0.3841145833333333,0.6257595486111112,1.0,1662.695068359375
P: Edge point - margin,1920.0,0,0.0,0.35873015873015873,0.09352863489014288,0.6090767198943451,0.404296875,0.6411675347222222,0.0,2071.839599609375
P: Cloud point - margin,1920.0,0,0.044444444444444446,0.3968253968253968,0.0565494056909593,0.8182254772481691,0.2084418402777778,0.8235677083333334,1.0,1662.695068359375
P: Edge point - margin,2400.0,0,0.0,0.19682539682539682,0.12990755192700204,0.6532596950414216,0.3608940972222222,0.68359375,0.0,2071.839599609375
P: Cloud point - margin,2400.0,0,0.02857142857142857,0.27936507936507937,0.09124744867331012,0.9653019570176492,0.08409288194444445,0.9661458333333334,1.0,1662.695068359375
