fold,arch,epochs,width,noise,val_pinball,val_rmse_s,val_raw_cov
2,GRU,8,64,0.0,0.13539087810421313,2661.962158203125,0.4050632911392405
2,GRU,8,64,0.2,0.12842023994370183,2576.28564453125,0.4008438818565401
2,CNN-LSTM,8,64,0.0,0.14798495745922946,2559.401123046875,0.24472573839662448
2,CNN-LSTM,8,64,0.2,0.15538600474470277,2681.234619140625,0.20253164556962025
0,Edge-CNN,25,16,0.0,0.20198772196938108,3853.126953125,0.45121951219512196
0,Edge-CNN,25,16,0.2,0.1764696167198926,3424.14599609375,0.4451219512195122
0,Edge-GRU,25,16,0.0,0.17828699024394157,3330.9091796875,0.29878048780487804
0,Edge-GRU,25,16,0.2,0.17096267495686718,3312.22021484375,0.29878048780487804
2,Edge-CNN,25,16,0.0,0.04828208910901251,1360.234619140625,0.7637130801687764
2,Edge-CNN,25,16,0.2,0.05206520439740584,1483.874755859375,0.6751054852320675
2,Edge-GRU,25,16,0.0,0.10906078754210355,2205.16357421875,0.4472573839662447
2,Edge-GRU,25,16,0.2,0.11008538894260986,2224.6474609375,0.4472573839662447
0,LSTM,8,32,0.0,0.13359559698681522,3048.578857421875,0.524390243902439
0,LSTM,8,32,0.2,0.14124869103657037,3152.374267578125,0.5121951219512195
0,GRU,8,32,0.0,0.12534485057382505,2982.357177734375,0.5487804878048781
0,GRU,8,32,0.2,0.12701365887641727,2959.403076171875,0.5548780487804879
0,CNN-LSTM,8,32,0.0,0.13524720542799168,2907.89306640625,0.4817073170731707
0,CNN-LSTM,8,32,0.2,0.14505552751527023,3062.55615234375,0.43902439024390244
2,LSTM,8,32,0.0,0.13054174623398423,2475.747802734375,0.379746835443038
2,LSTM,8,32,0.2,0.13246548570975472,2520.25341796875,0.4008438818565401
2,GRU,8,32,0.0,0.07423529808950492,1806.3773193359375,0.5907172995780591
2,GRU,8,32,0.2,0.07380551150325378,1793.364501953125,0.5864978902953587
2,CNN-LSTM,8,32,0.0,0.10001747013029084,2030.0654296875,0.4177215189873418
2,CNN-LSTM,8,32,0.2,0.09705902512896541,1988.727783203125,0.46835443037974683
0,Edge-CNN,8,16,0.0,0.08657250688903458,2581.991455078125,0.6585365853658537
0,Edge-CNN,8,16,0.2,0.08447787772231864,2638.26220703125,0.7804878048780488
0,Edge-GRU,8,16,0.0,0.10416474704350522,2873.780517578125,0.8048780487804879
0,Edge-GRU,8,16,0.2,0.10485630014067049,2909.642822265625,0.8048780487804879
2,Edge-CNN,8,16,0.0,0.06824973634694365,2115.181396484375,0.8270042194092827
2,Edge-CNN,8,16,0.2,0.06557417423811476,2041.750732421875,0.8354430379746836
2,Edge-GRU,8,16,0.0,0.05941968761075357,1798.155029296875,0.8818565400843882
2,Edge-GRU,8,16,0.2,0.06238556645716294,1858.777099609375,0.869198312236287
