fold,arch,epochs,width,noise,val_pinball,val_rmse_s,val_raw_cov
2,LSTM,25,32,0.2,0.05088295938680546,772.6006469726562,0.6033898305084746
2,GRU,25,32,0.0,0.0544109228312487,603.9290771484375,0.20801232665639446
2,GRU,25,32,0.2,0.045559943082250184,581.8649291992188,0.43235747303543914
2,CNN-LSTM,25,32,0.0,0.06746517725686844,845.3076782226562,0.2530046224961479
2,CNN-LSTM,25,32,0.2,0.05677778473860547,858.7210083007812,0.6107858243451464
0,TCN,8,32,0.0,0.05228636762554136,712.3807373046875,0.5246621621621622
0,TCN,8,32,0.2,0.04534972536320974,682.856689453125,0.7489864864864865
2,TCN,8,32,0.0,0.09113670825036017,1075.3441162109375,0.3543913713405239
2,TCN,8,32,0.2,0.087885686326418,1040.365966796875,0.3559322033898305
0,LSTM,8,64,0.0,0.05626745232506781,798.3474731445312,0.7054054054054054
0,LSTM,8,64,0.2,0.07617435028409451,882.6853637695312,0.39425675675675675
0,GRU,8,64,0.0,0.05466439288985803,646.9385375976562,0.36858108108108106
0,GRU,8,64,0.2,0.05176843505459711,626.03076171875,0.3493243243243243
0,CNN-LSTM,8,64,0.0,0.04174629536169992,596.259033203125,0.7405405405405405
0,CNN-LSTM,8,64,0.2,0.0803289146003993,870.8453369140625,0.4817567567567568
2,LSTM,8,64,0.0,0.03754138612790626,659.5105590820312,0.6724191063174114
2,LSTM,8,64,0.2,0.0850987712656969,1044.961181640625,0.35408320493066253
2,GRU,8,64,0.0,0.05611445718839989,550.3742065429688,0.28012326656394454
2,GRU,8,64,0.2,0.05323601814885214,577.0388793945312,0.24622496147919876
2,CNN-LSTM,8,64,0.0,0.07272331676512629,835.695068359375,0.31710323574730354
2,CNN-LSTM,8,64,0.2,0.07733876300896277,876.1111450195312,0.22280431432973805
0,Edge-CNN,25,16,0.0,0.08598728977387084,940.0700073242188,0.1543918918918919
0,Edge-CNN,25,16,0.2,0.089971845941681,952.8994750976562,0.16013513513513514
0,Edge-GRU,25,16,0.0,0.07061453457013493,772.880859375,0.3932432432432432
0,Edge-GRU,25,16,0.2,0.07675339243190178,793.8179321289062,0.3722972972972973
2,Edge-CNN,25,16,0.0,0.07549991634434125,1001.2662963867188,0.2702619414483821
2,Edge-CNN,25,16,0.2,0.0834062006335316,1161.3499755859375,0.38582434514637903
2,Edge-GRU,25,16,0.0,0.057013828670008086,835.7913208007812,0.7257318952234206
2,Edge-GRU,25,16,0.2,0.054317188407072024,795.708251953125,0.72326656394453
0,LSTM,8,32,0.0,0.06427883463532053,910.412109375,0.5672297297297297
0,LSTM,8,32,0.2,0.08219563015604492,1071.7850341796875,0.5591216216216216
0,GRU,8,32,0.0,0.07504007200538473,901.1039428710938,0.42567567567567566
0,GRU,8,32,0.2,0.07444352681379396,908.7024536132812,0.41824324324324325
0,CNN-LSTM,8,32,0.0,0.04635623055103295,744.85400390625,0.7993243243243243
0,CNN-LSTM,8,32,0.2,0.09926614749610323,1090.2774658203125,0.3489864864864865
2,LSTM,8,32,0.0,0.05850377784952957,859.9286499023438,0.7380585516178737
2,LSTM,8,32,0.2,0.05544932937950783,972.1219482421875,0.7183359013867489
2,GRU,8,32,0.0,0.041783382678122226,555.1934814453125,0.6745762711864407
2,GRU,8,32,0.2,0.04972445439654927,655.5081176757812,0.65115562403698
2,CNN-LSTM,8,32,0.0,0.10958978108835464,1146.26806640625,0.3839753466872111
2,CNN-LSTM,8,32,0.2,0.06543168064564636,863.4476318359375,0.6357473035439137
0,Edge-CNN,8,16,0.0,0.06799298533353837,907.9599609375,0.5493243243243243
0,Edge-CNN,8,16,0.2,0.06844160652230703,894.795654296875,0.5391891891891892
0,Edge-GRU,8,16,0.0,0.042195897319311906,748.4581298828125,0.9344594594594594
0,Edge-GRU,8,16,0.2,0.04177698487603905,747.7515258789062,0.9344594594594594
2,Edge-CNN,8,16,0.0,0.0879550834388329,1080.2598876953125,0.2933744221879815
2,Edge-CNN,8,16,0.2,0.09306764398785197,1093.22900390625,0.2443759630200308
2,Edge-GRU,8,16,0.0,0.03634165985588201,628.1109008789062,0.9140215716486902
2,Edge-GRU,8,16,0.2,0.03614459074074598,628.9510498046875,0.9171032357473036
