policy,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse,mae,bytes_per_snapshot,latency_mean_ms,kmacs_per_snapshot,picp,mpiw,seed
Always-edge,0.0,0.33365477338476374,0.36177333577847054,0.9837245552906657,0.09068263088111214,0.9857366708184339,0.0,756.5181884765625,503.6631774902344,0.0,0.1542289992357837,34.096,0.9395716983406324,2254.841552734375,2
Always-cloud,0.0,0.2227579556412729,0.6275444709334311,0.952365670273244,0.09245048013178513,0.9579734019044558,1.0,887.6578979492188,665.7393188476562,112.0,51.10697900163359,3609.152,0.9639198039294468,2483.162841796875,2
Cloud point+threshold,0.5226615236258437,0.6943105110896818,0.04754263708050614,0.21602787456445993,0.7153360922495882,0.24187392020571336,1.0,1058.39599609375,732.0038452148438,112.0,51.10697900163359,3609.152,,,2
HERA-full,0.0,0.2227579556412729,0.6275444709334311,0.9458096460663855,0.09819599019647234,0.9522278918397685,0.9857366708184339,887.6577758789062,665.7308349609375,123.95500020089196,50.53225233589369,3591.7694769576924,0.9639198039294468,2482.025146484375,2
HERA w/o anomaly term,0.0,0.2227579556412729,0.6275444709334311,0.9458096460663855,0.09819599019647234,0.9522278918397685,0.9857366708184339,887.6577758789062,665.7308349609375,123.95500020089196,50.53225233589369,3591.7694769576924,0.9639198039294468,2482.025146484375,2
HERA-no-DT,0.0,0.1369334619093539,0.607601320374106,0.9837245552906657,0.07183896500462052,0.9857366708184339,0.9857366708184339,936.8226928710938,641.2869262695312,123.95500020089196,50.53225233589369,3591.7694769576924,0.9656072963959982,2494.1142578125,2
HERA-no-UQ,0.609450337512054,0.7309546769527483,0.03883183568677792,0.13905189803777737,0.774277793402708,0.15922696773675118,0.43770340310980754,956.0462036132812,598.9631958007812,84.7781750974326,22.523927630912283,1613.8341127405681,,,2
HERA-fixed (anomaly trigger),0.0,0.3394406943105111,0.3614065651934715,0.9837245552906657,0.08851299770983165,0.9857366708184339,0.03933464582747399,763.0903930664062,505.07244873046875,27.151432359676967,2.164503917577191,176.06071565751938,0.9470850576559926,2256.539794921875,2
Width gate (matched),0.0,0.2227579556412729,0.6275444709334311,0.9474142673757565,0.0967897464743461,0.9536341355618948,0.9883080879103219,887.6578369140625,665.734130859375,123.95500020089196,50.66366969521325,3601.0501120977137,0.9639198039294468,2482.060791015625,2
Linear score gate (matched),0.0,0.2227579556412729,0.6275444709334311,0.9474142673757565,0.0968701032584676,0.9537144923460164,0.9829643617662421,887.6603393554688,665.7289428710938,123.93700028124874,50.39056799537729,3581.7637921973565,0.9639198039294468,2482.091796875,2
Random gate (matched),0.0,0.22372227579556414,0.6258023106546855,0.9525490555657437,0.09220940977942063,0.9581341154726988,0.9934911004861585,886.8417358398438,664.6151123046875,124.0,50.92855781009174,3619.75639230182,0.9635983767929608,2481.816162109375,2
