family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Random gate,0.5,0,0.009643201542912247,0.2690453230472517,0.46566110397946087,0.9595176966807262,0.0951826107919161,0.9637992687532645,0.49909598617863316,838.5442504882812
Width gate,0.54,0,0.019286403085824494,0.2786885245901639,0.4319640564826701,0.9655235650100862,0.0897585278637149,0.96837960544819,0.5399975892964763,879.8277587890625
Linear score gate,0.54,0,0.019286403085824494,0.28351012536162007,0.4347148358701632,0.9656611039794608,0.08557997508939692,0.9684197838402507,0.5399975892964763,874.2470703125
Anomaly trigger,0.54,0,0.0,0.21407907425265188,0.47675591417568314,0.9660737208875848,0.08654425649885492,0.9698260275623769,0.5399975892964763,879.1002807617188
Random gate,0.54,0,0.010607521697203472,0.25554484088717455,0.4806528516412984,0.9582339996332294,0.09618707059343486,0.9625537385993812,0.5416047249789063,847.2337646484375
Width gate,0.5800000000000001,0,0.019286403085824494,0.2719382835101254,0.4594260040344764,0.9655235650100862,0.08650407810679417,0.96837960544819,0.580015267788983,887.0655517578125
Linear score gate,0.5800000000000001,0,0.019286403085824494,0.2651880424300868,0.45933431138822667,0.9656152576563359,0.08497729920848568,0.9683394270561292,0.580015267788983,882.5870971679688
Anomaly trigger,0.5800000000000001,0,0.0,0.2073288331726133,0.49958738309187606,0.9660737208875848,0.08614247257824742,0.9698260275623769,0.580015267788983,888.342041015625
Random gate,0.5800000000000001,0,0.009643201542912247,0.2536162005785921,0.4884467265725289,0.9589216944801027,0.09301297762063562,0.9632769496564747,0.5747117200369641,847.195068359375
Width gate,0.62,0,0.019286403085824494,0.2719382835101254,0.4871171832019072,0.9655235650100862,0.08477640724818193,0.96837960544819,0.619992767889429,896.098876953125
Linear score gate,0.62,0,0.019286403085824494,0.26229508196721313,0.48858426554190354,0.9655694113332111,0.08421390975933143,0.9682992486640685,0.619992767889429,895.051025390625
Anomaly trigger,0.62,0,0.0,0.19961427193828352,0.5248487071336879,0.9660278745644599,0.08545943991321467,0.9697858491703162,0.619992767889429,896.9091186523438
Random gate,0.62,0,0.008678881388621022,0.24879459980713597,0.5006876948468733,0.9586924628644783,0.09224958817148138,0.963076057696171,0.6159347502912933,857.9243774414062
Width gate,0.66,0,0.019286403085824494,0.2709739633558341,0.5142123601687145,0.9654777186869613,0.08308891478163044,0.9683394270561292,0.6600104463819358,904.0047607421875
Linear score gate,0.66,0,0.019286403085824494,0.26036644165863065,0.5166880616174583,0.9655235650100862,0.08260677407690144,0.9682590702720077,0.6600104463819358,904.01171875
Anomaly trigger,0.66,0,0.0,0.19479267116682739,0.5488721804511278,0.9662112598569594,0.08308891478163044,0.9699465627385592,0.6600104463819358,902.5993041992188
Random gate,0.66,0,0.007714561234329798,0.24493731918997108,0.5147625160462131,0.9579130753713552,0.09261119370002813,0.962433203423199,0.6600104463819358,865.207763671875
Width gate,0.7000000000000001,0,0.019286403085824494,0.2690453230472517,0.5397946084724005,0.9654777186869613,0.08112017357065371,0.9683394270561292,0.6999879464823818,911.5556640625
Linear score gate,0.7000000000000001,0,0.019286403085824494,0.25843780135004824,0.544791857693013,0.9655235650100862,0.08055767608180321,0.9682590702720077,0.6999879464823818,911.5902099609375
