rep,n_cal,policy,eps,theta,late_rate,premature_rate,timely_rate,false_alarm_rate,median_lead,esc_frac
2,50,hera,0.05,0.08,0.04929577464788732,0.6355633802816901,0.31514084507042256,0.7598458501738885,130.5,0.7832089556740456
2,50,hera,0.1,0.15,0.10475352112676056,0.5448943661971831,0.3503521126760563,0.6523169470814926,115.6,0.7210190139003132
2,50,hera,0.2,0.185,0.13028169014084506,0.5105633802816901,0.3591549295774648,0.6064479744336874,111.59999999999998,0.6948454954003486
2,100,edge,0.05,0.215,0.045774647887323945,0.6470070422535211,0.30721830985915494,0.7845662186295704,129.5,0.0
2,100,edge,0.1,0.345,0.10299295774647887,0.5264084507042254,0.37059859154929575,0.6671679669141837,111.39999999999999,0.0
2,100,edge,0.2,0.465,0.20862676056338028,0.40933098591549294,0.38204225352112675,0.554093429833631,99.2,0.0
2,100,cloud,0.05,0.06,0.035211267605633804,0.6813380281690141,0.2834507042253521,0.8051508600432371,135.89999999999998,1.0
2,100,cloud,0.1,0.14,0.09595070422535211,0.5580985915492958,0.3459507042253521,0.6682018986746875,118.4,1.0
2,100,cloud,0.2,0.25,0.17869718309859156,0.4471830985915493,0.37411971830985913,0.5286211110066735,103.4,1.0
2,100,hera,0.05,0.06,0.035211267605633804,0.6804577464788732,0.28433098591549294,0.8023310461509541,135.89999999999998,0.8049439458697939
2,100,hera,0.1,0.14,0.09595070422535211,0.5572183098591549,0.34683098591549294,0.6664160165429082,118.2,0.7289375973724445
2,100,hera,0.2,0.25,0.18045774647887325,0.4471830985915493,0.37235915492957744,0.5280571482282169,103.4,0.6506612087630477
2,200,edge,0.05,0.17,0.035211267605633804,0.6936619718309859,0.2711267605633803,0.8266754394209982,138.9,0.0
2,200,edge,0.1,0.3,0.07746478873239436,0.5695422535211268,0.3529929577464789,0.7073033179810132,116.60000000000001,0.0
2,200,edge,0.2,0.465,0.20862676056338028,0.40933098591549294,0.38204225352112675,0.554093429833631,99.2,0.0
2,200,cloud,0.05,0.05,0.03169014084507042,0.6954225352112676,0.272887323943662,0.8287433029420058,138.60000000000002,1.0
2,200,cloud,0.1,0.12,0.07746478873239436,0.5827464788732394,0.3397887323943662,0.6977159507472507,121.5,1.0
2,200,cloud,0.2,0.26,0.19102112676056338,0.4339788732394366,0.375,0.5184697809944544,102.20000000000002,1.0
2,200,hera,0.05,0.045,0.029049295774647887,0.7051056338028169,0.2658450704225352,0.8376727136009023,141.4,0.8235807023866285
2,200,hera,0.1,0.12,0.07746478873239436,0.5827464788732394,0.3397887323943662,0.6963060438011092,120.89999999999999,0.7456361436711004
2,200,hera,0.2,0.26,0.19190140845070422,0.4339788732394366,0.37411971830985913,0.5179058182159978,102.2,0.6442389137124566
2,500,edge,0.05,0.19,0.04225352112676056,0.6725352112676056,0.2852112676056338,0.8059968042109221,133.8,0.0
2,500,edge,0.1,0.32,0.09154929577464789,0.5492957746478874,0.3591549295774648,0.6889745276811731,114.0,0.0
2,500,edge,0.2,0.465,0.20862676056338028,0.40933098591549294,0.38204225352112675,0.554093429833631,99.2,0.0
2,500,cloud,0.05,0.055,0.03433098591549296,0.6866197183098591,0.2790492957746479,0.8162421280195508,136.4,1.0
2,500,cloud,0.1,0.135,0.09242957746478873,0.5633802816901409,0.34419014084507044,0.6753454272018047,119.39999999999999,1.0
2,500,cloud,0.2,0.285,0.21214788732394366,0.40757042253521125,0.38028169014084506,0.4918695366105837,99.0,1.0
2,500,hera,0.05,0.05,0.03169014084507042,0.6945422535211268,0.2737676056338028,0.8258294952533133,138.60000000000002,0.8170962625325882
2,500,hera,0.1,0.13,0.08538732394366197,0.5669014084507042,0.3477112676056338,0.6807030735971425,119.8,0.7371558024478816
2,500,hera,0.2,0.285,0.21390845070422534,0.40492957746478875,0.38116197183098594,0.4911175862393082,98.0,0.6287645205619503
2,1000,edge,0.05,0.225,0.04841549295774648,0.6355633802816901,0.3160211267605634,0.77629476454554,128.2,0.0
2,1000,edge,0.1,0.345,0.10299295774647887,0.5264084507042254,0.37059859154929575,0.6671679669141837,111.39999999999999,0.0
2,1000,edge,0.2,0.49,0.2262323943661972,0.3882042253521127,0.3855633802816901,0.5273051978569414,96.79999999999998,0.0
2,1000,cloud,0.05,0.075,0.043133802816901406,0.647887323943662,0.3089788732394366,0.7721590375035248,132.0,1.0
2,1000,cloud,0.1,0.155,0.10915492957746478,0.5378521126760564,0.3529929577464789,0.6477112510574302,115.5,1.0
2,1000,cloud,0.2,0.3,0.22535211267605634,0.39436619718309857,0.38028169014084506,0.4771125105743021,97.69999999999999,1.0
2,1000,hera,0.05,0.075,0.04401408450704225,0.6470070422535211,0.3089788732394366,0.7691512360184228,132.2,0.7882365399944039
2,1000,hera,0.1,0.155,0.11003521126760564,0.5369718309859155,0.3529929577464789,0.6462073503148792,115.2,0.717224768255587
2,1000,hera,0.2,0.3,0.22711267605633803,0.39172535211267606,0.38116197183098594,0.4762665664066172,97.5,0.6200788989775051
2,0,edge_fixed0.5,,0.5,0.23415492957746478,0.38028169014084506,0.3855633802816901,0.5172478616411317,95.5,0.0
2,0,cloud_fixed0.5,,0.5,0.42077464788732394,0.2262323943661972,0.3529929577464789,0.2851771783062318,78.69999999999999,1.0
3,12,edge,0.05,0.01,0.0035211267605633804,0.8617957746478874,0.13468309859154928,0.9766895384904596,177.8,0.0
3,12,edge,0.1,0.33,0.09683098591549295,0.5308098591549296,0.37235915492957744,0.6827709371181502,111.7,0.0
3,12,edge,0.2,0.39,0.12852112676056338,0.46742957746478875,0.4040492957746479,0.6261866716796691,103.1,0.0
3,12,cloud,0.05,0.01,0.007042253521126761,0.7764084507042254,0.21654929577464788,0.9607105931008554,158.2,1.0
3,12,cloud,0.1,0.08,0.05457746478873239,0.6170774647887324,0.3283450704225352,0.762759657862581,126.69999999999999,1.0
3,12,cloud,0.2,0.085,0.06073943661971831,0.6109154929577465,0.3283450704225352,0.7522323526647241,126.4,1.0
3,12,hera,0.05,0.01,0.007922535211267605,0.7764084507042254,0.21566901408450703,0.9548829777234703,157.8,0.8932158305756845
3,12,hera,0.1,0.08,0.056338028169014086,0.6170774647887324,0.3265845070422535,0.7601278315631168,127.0,0.7834053705847566
3,12,hera,0.2,0.085,0.061619718309859156,0.6109154929577465,0.3274647887323944,0.7494125387724411,126.5,0.7784885830282301
