policy,eps,n_cal,late,late_q95,premature,timely,false_alarm,lead,esc,theta
edge,0.1,50,0.09727112676056338,0.1615757042253521,0.5597535211267606,0.3429753521126761,0.6956104897076792,117.976,0.0,0.3185
edge,0.1,100,0.09825704225352112,0.14925176056338027,0.5495070422535211,0.35223591549295774,0.6871190901400507,116.064,0.0,0.3285
edge,0.1,200,0.10098591549295774,0.13565140845070423,0.5405985915492958,0.3584154929577465,0.6792029326064479,114.73,0.0,0.33759999999999996
edge,0.1,500,0.09873239436619718,0.1233274647887324,0.541919014084507,0.35934859154929577,0.6816260926778832,114.904,0.0,0.335
edge,0.1,1000,0.09920774647887325,0.11844190140845069,0.5412852112676056,0.35950704225352115,0.680866622802895,114.744,0.0,0.336
edge,0.2,12,0.16580985915492957,0.33490316901408446,0.48059859154929574,0.35359154929577463,0.6137475326628442,108.54,0.0,0.3992
edge,0.2,25,0.20482394366197185,0.32715669014084503,0.41531690140845073,0.37985915492957745,0.5507096531628912,99.50399999999999,0.0,0.46740000000000004
edge,0.2,50,0.20098591549295775,0.3058098591549296,0.41644366197183097,0.3825704225352113,0.552698561894915,99.39,0.0,0.46659999999999996
edge,0.2,100,0.20308098591549295,0.2648327464788732,0.4128345070422535,0.3840845070422535,0.5472976783532286,98.78399999999999,0.0,0.4736
edge,0.2,200,0.20723591549295775,0.25026408450704224,0.4076232394366197,0.38514084507042257,0.5434476924522982,98.26,0.0,0.478
edge,0.2,500,0.2011443661971831,0.2348151408450704,0.414806338028169,0.3840492957746479,0.5518582573550146,99.148,0.0,0.4702
edge,0.2,1000,0.2016725352112676,0.2286531690140845,0.4132922535211268,0.3850352112676056,0.5512830153209888,98.904,0.0,0.4709
edge_fixed0.5,,0,0.22526408450704224,0.23864436619718307,0.38890845070422536,0.3858274647887324,0.5214606635962027,96.228,0.0,0.5
hera,0.05,12,0.005299295774647887,0.007526408450704223,0.792693661971831,0.20200704225352112,0.9563511608233857,161.266,0.8943366885030385,0.01
hera,0.05,25,0.04485915492957746,0.14705105633802815,0.6820950704225353,0.2730457746478873,0.8169865588871135,140.072,0.8137994340985201,0.06770000000000001
hera,0.05,50,0.03838028169014084,0.09608274647887322,0.6876408450704226,0.27397887323943665,0.8228104145126421,140.52,0.8169616765001018,0.059500000000000004
hera,0.05,100,0.04901408450704225,0.1017165492957746,0.6554401408450704,0.29554577464788734,0.7811467243161951,134.17600000000002,0.7938057276604031,0.0756
hera,0.05,200,0.04963028169014084,0.08235035211267605,0.6511091549295774,0.2992605633802817,0.7747062693862204,133.47799999999998,0.7909791341870722,0.0759
hera,0.05,500,0.04744718309859155,0.06826584507042253,0.6549119718309859,0.29764084507042254,0.7781821599774414,133.886,0.7929222817981499,0.073
hera,0.05,1000,0.04887323943661972,0.06738556338028169,0.6487852112676056,0.3023415492957746,0.7710687094651754,133.128,0.7895328551029834,0.0759
hera,0.1,12,0.07607394366197183,0.199031690140845,0.6196478873239437,0.3042781690140845,0.7397236582385562,129.70600000000002,0.7708378995831544,0.1121
hera,0.1,25,0.08661971830985916,0.20950704225352113,0.5941197183098591,0.3192605633802817,0.7087075852993702,125.238,0.7532344813481611,0.1264
hera,0.1,50,0.1004225352112676,0.16848591549295772,0.5583098591549296,0.3412676056338028,0.6614193063257825,118.57,0.728018035853296,0.14880000000000002
hera,0.1,100,0.09804577464788732,0.15669014084507044,0.5590669014084507,0.342887323943662,0.662090422032146,118.662,0.7288622687498121,0.1459
hera,0.1,200,0.10366197183098592,0.1457306338028169,0.5496302816901408,0.3467077464788732,0.6492715480778268,116.85799999999999,0.721729014296182,0.1533
hera,0.1,500,0.09716549295774649,0.1272007042253521,0.5579049295774648,0.3449295774647887,0.6625115142400602,118.478,0.7292709310100384,0.14279999999999998
hera,0.1,1000,0.09860915492957746,0.12174295774647885,0.5563380281690141,0.3450528169014085,0.6608290252843312,118.20200000000001,0.7282004153481892,0.1439
hera,0.2,12,0.15996478873239436,0.3473151408450704,0.4835739436619718,0.35646126760563385,0.5792010527305198,108.96799999999999,0.6811866402715784,0.2218
hera,0.2,25,0.1875176056338028,0.3373679577464788,0.43931338028169015,0.37316901408450703,0.5253050098693486,102.044,0.6508123947026512,0.26030000000000003
hera,0.2,50,0.2006161971830986,0.3117957746478873,0.4191549295774648,0.38022887323943666,0.5028461321552777,99.184,0.6378853859765743,0.2778
hera,0.2,100,0.2050176056338028,0.2802816901408451,0.4114084507042254,0.38357394366197184,0.49644139486793876,98.17399999999999,0.6336276744634373,0.2833
hera,0.2,200,0.2065845070422535,0.2590669014084507,0.4082570422535211,0.3851584507042254,0.4928226337061754,97.876,0.6315517090637858,0.28559999999999997
hera,0.2,500,0.19721830985915492,0.23477112676056336,0.41589788732394367,0.38688380281690143,0.5024607575899991,98.56200000000001,0.6368632876803013,0.2762
hera,0.2,1000,0.19838028169014085,0.23340669014084503,0.4141725352112676,0.3874471830985915,0.5011580035717642,98.44,0.6360862972969386,0.27740000000000004
