family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Linear score gate,0.9,0,0.04532304725168756,0.4059787849566056,0.2949752429855126,0.9275628094626811,0.13311101289726385,0.9336654747077022,0.8999959821607939,1081.5615234375
Anomaly trigger,0.9,0,0.052073288331726135,0.4059787849566056,0.3054740509811113,0.9119750596002201,0.14540560086785326,0.9183575073325565,0.8999959821607939,1088.3331298828125
Random gate,0.9,0,0.048216007714561235,0.4146576663452266,0.28342196955804144,0.8841921877865395,0.16947245771224237,0.8924022660613122,0.8979468841656957,1057.492919921875
Width gate,0.9400000000000001,0,0.03664416586306654,0.4059787849566056,0.2967174032642582,0.9064276545021089,0.14845915866447024,0.9123307485234441,0.9399734822612399,1084.13525390625
Linear score gate,0.9400000000000001,0,0.05014464802314368,0.4059787849566056,0.29873464148175316,0.9110122868145974,0.14560649282815702,0.9169512636104303,0.9399734822612399,1085.82861328125
Anomaly trigger,0.9400000000000001,0,0.052073288331726135,0.4059787849566056,0.3038235833486154,0.8897395928846507,0.1639278396078589,0.897906705773635,0.9399734822612399,1088.2606201171875
Random gate,0.9400000000000001,0,0.04628736740597879,0.4127290260366442,0.2901613790573996,0.878782321657803,0.17377154566274258,0.8876612157981437,0.9365583189360762,1069.59912109375
Width gate,0.98,0,0.05014464802314368,0.4059787849566056,0.29919310471300203,0.8838254172015404,0.16806621399011612,0.8917594117883403,0.9799911607537466,1086.83642578125
Linear score gate,0.98,0,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8864845039427838,0.16573586725059264,0.8940094017437422,0.9799911607537466,1086.2518310546875
Anomaly trigger,0.98,0,0.052073288331726135,0.4059787849566056,0.3011186502842472,0.8784613973959289,0.17284744264534532,0.8870585399172325,0.9799911607537466,1087.13232421875
Random gate,0.98,0,0.05110896817743491,0.4108003857280617,0.29685494223363285,0.8737392261140656,0.17698581702760255,0.882960343927036,0.9797902687934429,1081.2818603515625
Point margin (no UQ),0.0,0,0.579556412729026,0.7994214079074252,0.022464698331193838,0.054648817164863375,0.8437060548836836,0.07971392984852746,0.0,786.6175537109375
Point margin (no UQ),100.0,0,0.5737704918032787,0.7984570877531341,0.024206858609939482,0.051347881899871634,0.8463980071517538,0.07698179918839648,0.015830286471935393,803.944091796875
Point margin (no UQ),200.0,0,0.5699132111861138,0.8032786885245902,0.02512378507243719,0.04978910691362553,0.8464381855438146,0.07501305797741975,0.03507573626903451,822.685302734375
Point margin (no UQ),300.0,0,0.570877531340405,0.8042430086788814,0.02654502108930864,0.053181734824867044,0.8396882156776085,0.07449073888063,0.061633653421190086,852.5275268554688
Point margin (no UQ),400.0,0,0.5718418514946962,0.8032786885245902,0.027966257106180083,0.058637447276728406,0.8339427056129214,0.07887018361525172,0.0890353168066214,881.5177001953125
Point margin (no UQ),600.0,0,0.5573770491803278,0.7859209257473481,0.0502017238217495,0.09540619842288649,0.8020008839246253,0.11177628671300574,0.15360199284824622,980.8081665039062
Point margin (no UQ),800.0,0,0.532304725168756,0.8032786885245902,0.055107280396112235,0.1210801393728223,0.7795411627626663,0.14110651291735304,0.20908835228414158,1020.6985473632812
Point margin (no UQ),1000.0,0,0.4840887174541948,0.7994214079074252,0.05937098844672657,0.1546396479002384,0.7553537707420949,0.17875366627827555,0.37000281248744427,1064.056396484375
Point margin (no UQ),1500.0,0,0.42719382835101255,0.7849566055930569,0.06739409499358151,0.21909957821382725,0.7100325444975693,0.24918638756076983,1.0,1158.3077392578125
P: Always-edge (CQR),0.02,0,0.0,0.03953712632594021,0.8554006968641115,1.0,0.04202659809554422,1.0,0.0,784.434326171875
P: Always-cloud (CQR),0.02,0,0.0,0.20250723240115717,0.5673024023473318,1.0,0.05416047249789063,1.0,1.0,1086.3768310546875
P: HERA,0.02,0,0.0,0.20250723240115717,0.5673024023473318,1.0,0.05416047249789063,1.0,1.0,1086.3768310546875
P: Always-edge (CQR),0.05,0,0.0,0.22757955641272903,0.5474509444342563,1.0,0.05263369359958214,1.0,0.0,784.434326171875
P: Always-cloud (CQR),0.05,0,0.0028929604628736743,0.32497589199614274,0.37121767834219693,0.9769392994681827,0.08999959821607939,0.9795893768331392,1.0,1086.3768310546875
P: HERA,0.05,0,0.0028929604628736743,0.32497589199614274,0.37121767834219693,0.9769392994681827,0.08999959821607939,0.9795893768331392,1.0,1086.3768310546875
P: Always-edge (CQR),0.1,0,0.0,0.49758919961427195,0.15482303319273794,0.9994039977993765,0.08505765599260717,0.9994776809032102,0.0,784.434326171875
P: Always-cloud (CQR),0.1,0,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8710801393728222,0.17923580698300454,0.8805094620113303,1.0,1086.3768310546875
P: HERA,0.1,0,0.052073288331726135,0.4059787849566056,0.29919310471300203,0.8709426004034476,0.17935634215918678,0.880388926835148,0.9994776809032102,1086.3616943359375
P: Always-edge (CQR),0.15,0,0.08100289296046287,0.5467695274831244,0.07734274711168164,0.9412250137538969,0.13560207320503034,0.9430270400578569,0.0,784.434326171875
P: Always-cloud (CQR),0.15,0,0.05785920925747348,0.4127290260366442,0.29006968641114983,0.7924995415367687,0.24753907348627907,0.8108401301779903,1.0,1086.3768310546875
P: HERA,0.15,0,0.09257473481195758,0.4127290260366442,0.29006968641114983,0.7914909224280213,0.24786050062276507,0.8079472859496163,0.9430270400578569,1087.6890869140625
